code,name,prefix
ATCM 4340,Strategic Design,ATCM
ATCM 4345,Digital Audio Processing,ATCM
ATCM 4346,Audio Productions Lab II,ATCM
ATCM 4350,Digital Video Production II,ATCM
ATCM 4357,Digital Fabrication Lab II,ATCM
ATCM 4364,Topics in Design and Production,ATCM
ATCM 4365,Game Design II,ATCM
ATCM 4366,Game Studies II,ATCM
ATCM 4367,Level Design II,ATCM
ATCM 4368,Scripting for Games II,ATCM
ATCM 4370,Virtual Environments II,ATCM
ATCM 4373,Animation for Games,ATCM
ATCM 4374,Interactives Lab,ATCM
ATCM 4375,Game Design III,ATCM
ATCM 4376,Game Production Lab I,ATCM
ATCM 4377,Game Production Lab II,ATCM
ATCM 4379,Topics in Games,ATCM
ATCM 4380,"Communication, Media, and Information Technology",ATCM
ATCM 4384,"Ethics in New Media, Technology, and Communication",ATCM
ATCM 4385,Children and Media,ATCM
ATCM 4386,Journalism in the Networked Age,ATCM
ATCM 4388,Political Communication,ATCM
ATCM 4395,"Advanced Topics in Arts, Technology, and Emerging Media",ATCM
ATCM 4397,Senior Seminar,ATCM
ATCM 4398,Capstone Project,ATCM
ATCM 4399,"Senior Honors in Arts, Technology, and Emerging Communication",ATCM
ATCM 4V96,"Independent Study in Arts, Technology, and Emerging Communication",ATCM
BA 1100,Business Basics,BA
BA 1310,Making Choices in Free Market Systems,BA
BA 1320,Business in a Global World,BA
BA 3100,Professional Development,BA
BA 3200,Introduction to Business and Professional Development,BA
BA 3300,Advanced Topics in Capitalism: Ideas and Challenges That Shape Our World,BA
BA 4010,ENACTUS Participation,BA
BA 4070,Conference Attendance US,BA
BA 4071,Conference Attendance International,BA
BA 4072,Conference Presentation US,BA
BA 4073,Conference Presentation International,BA
BA 4074,Student Leadership and Mentoring,BA
BA 4080,Participation in Internal Competition,BA
BA 4081,Participation in Local Competition,BA
BA 4082,Participation in Regional Competition,BA
BA 4083,Participation in National Competition,BA
BA 4090,Management Internship,BA
BA 4095,Social Sector Engagement and Community Outreach Practicum,BA
BA 4101,Careers in Management,BA
BA 4V00,Special Topics,BA
BA 4V10,ENACTUS Service,BA
BA 4V90,Management Internship,BA
BBSU 1100,First Year Seminar,BBSU
BBSU 3310,Community-Based Service Learning,BBSU
BCOM 1300,Introduction to Professionalism and Communication in Business,BCOM
BCOM 3100,Professional Development,BCOM
BCOM 3200,Introduction to Business and Professional Development,BCOM
BCOM 3300,Professionalism and Communication in Business,BCOM
BCOM 3310,Business Communication,BCOM
BCOM 4300,Managing Communications in Business,BCOM
BCOM 4310,Strategic Business Communications,BCOM
BCOM 4350,Advanced Business Communication,BCOM
BIOL 1300,Body Systems with Lab,BIOL
BIOL 1318,Human Genetics,BIOL
BIOL 1350,Body Systems,BIOL
BIOL 1V00,Topics in Biological Sciences,BIOL
BIOL 1V01,Topics in Biological Sciences with Lab,BIOL
BIOL 1V95,Individual Instruction in Biology,BIOL
BIOL 2111,Introduction to Modern Biology Workshop I,BIOL
BIOL 2112,Introduction to Modern Biology Workshop II,BIOL
BIOL 2281,Introductory Biology Laboratory,BIOL
BIOL 2311,Introduction to Modern Biology I,BIOL
BIOL 2312,Introduction to Modern Biology II,BIOL
BIOL 2350,Biological Basis of Health and Disease,BIOL
BIOL 2V00,Topics in Biological Sciences,BIOL
BIOL 2V01,Topics in Biological Sciences with Lab,BIOL
BIOL 2V95,Individual Instruction in Biology,BIOL
BIOL 3101,Classical and Molecular Genetics Workshop,BIOL
BIOL 3102,Eukaryotic Molecular and Cell Biology Workshop,BIOL
BIOL 3161,Biochemistry Workshop I,BIOL
BIOL 3162,Biochemistry Workshop II,BIOL
BIOL 3301,Classical and Molecular Genetics,BIOL
BIOL 3302,Eukaryotic Molecular and Cell Biology,BIOL
BIOL 3303,Introduction to Microbiology,BIOL
